Tobias|Ahorcado|2026-06-28T16:39:44.069023100|18
Tobias|Pasapalabra|2026-06-28T16:37:55.331260700|246
Tobias|Ahorcado|2026-06-30T16:34:54.830482900|38
Tobias|Ahorcado|2026-06-30T16:36:44.353138800|48
Tobias|Pasapalabra|2026-06-30T16:39:57.679977200|258
Tobias|Ahorcado|2026-06-30T16:45:18.031808100|18
Tobias|Ahorcado|2026-06-30T16:49:05.297770600|82
Tobias|Ahorcado|2026-06-30T16:53:58.946438900|48
Tobias|Ahorcado|2026-06-30T16:56:43.926804200|48
Tobias|Ahorcado|2026-06-30T16:57:31.980884100|86
Tobias|Ahorcado|2026-06-30T17:04:38.168704700|28
Tobias|Ahorcado|2026-06-30T17:18:48.543948900|8
